id,name
196876,Alisson
159047,Marquinhos
228402,Éder Militão
96254,Thiago Silva
170369,Danilo
199734,Alex Telles
30901,Dani Alves
125514,Alex Sandro
176287,Fabinho
173666,Casemiro
218522,Bruno Guimarães
161559,Fred
234715,Lucas Paquetá
199017,Éverton Ribeiro
269844,Gabriel Martinelli
252107,Vinícius Júnior
132948,Neymar
281558,Antony
267804,Rodrygo
231050,Raphinha
156799,Richarlison
217289,Gabriel Jesus
176948,Ederson
235017,Pedro
198983,Weverton
258307,Bremer
118577,Franco Armani
157557,Marcos Acuña
242710,Juan Foyth
233937,Lisandro Martínez
164826,Nahuel Molina
228262,Gonzalo Montiel
119289,Nicolás Otamendi
138341,Germán Pezzella
145190,Nicolás Tagliafico
174466,Rodrigo De Paul
285450,Enzo Jeremias Fernandez
149578,Papu Gómez
249299,Alexis Mac Allister
228393,Exequiel Palacios
153115,Leandro Paredes
212185,Guido Rodríguez
277206,Julián Álvarez
195638,Joaquín Correa
108223,Ángel Di María
164839,Paulo Dybala
76017,Nicolás González
219713,Lautaro Martínez
45843,Lionel Messi
158626,Emiliano Martínez
96970,Cristian Romero
167192,Gerónimo Rulli
